datetime,qualitystatus,resolutioncode,netregulationvolume,systemimbalance,alpha,marginalincrementalprice,marginaldecrementalprice,strategicreserveprice,positiveimbalanceprice,negativeimbalanceprice
2024-01-02T15:45:00+00:00,Validated,PT15M,131.302,-165.185,0.77,139.85,-32.4,,140.62,140.62
2024-01-02T16:00:00+00:00,Validated,PT15M,273.009,-284.585,4.53,251.0,-37.87,,255.53,255.53
2024-01-02T16:15:00+00:00,Validated,PT15M,261.072,-284.77,10.86,251.0,-37.4,,261.86,261.86
2024-01-02T16:30:00+00:00,Validated,PT15M,174.687,-159.784,4.29,253.16,-55.99,,257.45,257.45
2024-01-02T16:45:00+00:00,Validated,PT15M,17.009,-33.822,0.0,251.0,-160.63,,251.0,251.0
2024-01-02T17:00:00+00:00,Validated,PT15M,-117.115,123.069,0.0,170.0,-271.4,,-271.4,-271.4
2024-01-02T17:15:00+00:00,Validated,PT15M,-97.525,91.531,0.0,135.0,-44.86,,-44.86,-44.86
2024-01-02T17:30:00+00:00,Validated,PT15M,-113.593,117.775,0.0,141.84,-178.23,,-178.23,-178.23
2024-01-02T17:45:00+00:00,Validated,PT15M,11.263,-53.69,0.0,163.13,-65.0,,163.13,163.13
2024-01-02T18:00:00+00:00,Validated,PT15M,154.497,-170.433,1.1,176.32,-40.26,,177.42,177.42
2024-01-02T18:15:00+00:00,Validated,PT15M,9.534,-23.2,0.0,160.0,-55.4,,160.0,160.0
2024-01-02T18:30:00+00:00,Validated,PT15M,-22.712,25.857,0.0,138.83,-77.72,,-77.72,-77.72
2024-01-02T18:45:00+00:00,Validated,PT15M,-81.662,87.829,0.0,139.61,-134.13,,-134.13,-134.13
2024-01-02T19:00:00+00:00,Validated,PT15M,307.136,-512.978,12.43,263.36,-340.3,,275.8,275.8
2024-01-02T19:15:00+00:00,Validated,PT15M,384.619,-232.031,46.57,172.84,-432.1,,219.41,219.41
2024-01-02T19:30:00+00:00,Validated,PT15M,147.812,-174.825,3.83,225.89,-512.66,,229.73,229.73
2024-01-02T19:45:00+00:00,Validated,PT15M,62.525,-9.892,0.0,160.0,-532.44,,160.0,160.0
2024-01-02T20:00:00+00:00,Validated,PT15M,96.016,-126.951,0.0,146.09,-203.88,,146.09,146.09
2024-01-02T20:15:00+00:00,Validated,PT15M,140.198,-173.439,1.97,199.44,-211.37,,201.41,201.41
2024-01-02T20:30:00+00:00,Validated,PT15M,101.789,-45.599,0.0,172.84,-501.29,,172.84,172.84
2024-01-02T20:45:00+00:00,Validated,PT15M,25.436,-99.735,0.0,187.34,-520.78,,187.34,187.34
2024-01-02T21:00:00+00:00,Validated,PT15M,241.235,-339.311,4.2,250.17,-200.33,,254.37,254.37
2024-01-02T21:15:00+00:00,Validated,PT15M,300.164,-320.327,27.2,160.0,-116.58,,187.2,187.2
2024-01-02T21:30:00+00:00,Validated,PT15M,321.486,-314.213,22.97,160.0,-26.08,,182.97,182.97
2024-01-02T21:45:00+00:00,Validated,PT15M,106.836,-73.192,0.0,251.0,-359.5,,251.0,251.0
2024-01-02T22:00:00+00:00,Validated,PT15M,245.266,-262.308,2.57,162.7,-30.32,,165.26,165.26
2024-01-02T22:15:00+00:00,Validated,PT15M,163.341,-124.91,0.0,251.0,-191.67,,251.0,251.0
2024-01-02T22:30:00+00:00,Validated,PT15M,77.526,18.562,0.0,251.0,-377.55,,-377.55,-377.55
